Card,Card time,已完成,CRM+仓配,商城,后台,雨琦 (roseguo),耿鑫 (jack_geng),何文俊 (zhanmou),hui (songofhawk),闫雪 (yanbiubiu),韩亚莉 (user65829343)
合作伙伴（小雨点）扫码体系,52:30:04,,52:30:04,,,00:30:01,25:59:59,,,,26:00:03
改用谷歌排线系统,24:00:00,,24:00:00,,,24:00:00,,,,,
7.换购,00:00:01,,,00:00:01,,,00:00:01,,,,
uni-app商城项目编译到 浏览器、微信公众号、微信小程序多端项目。,15:00:02,,,15:00:02,,,,,,15:00:02,
增加下单的渠道标识,00:23:01,,,00:23:01,,00:23:01,,,,,
为订单增加批注功能,06:12:43,,,,06:12:43,,,06:12:43,,,
优化派单页面的列,11:07:07,,11:07:07,,,,,11:07:07,,,
商品销售统计按模板统计,00:35:02,,,,00:35:02,00:35:02,,,,,
单独转让设计,03:23:01,03:23:01,,,,03:23:01,,,,,
【商城】我的页面的图标修改,00:15:00,00:15:00,,,,,,,,00:15:00,
后台-发券活动要知道是否是批量,01:00:00,01:00:00,,,,01:00:00,,,,,
后台-餐饮地推管理，大学燕配送管理-增加独家数量,01:00:01,,00:30:00,,,,00:30:00,,,,
,,00:30:00,,,,,,00:30:00,,,
取消独家,02:00:02,02:00:02,,,,,00:30:03,01:29:59,,,
测试uni-app 编译小程序和 h5 多端使用,01:30:01,01:30:01,,,,01:30:01,,,,,
日常管理-管理层会议,09:00:00,09:00:00,,,,,,,09:00:00,,
调研研发部记录工作量工具,11:30:01,11:30:01,,,,02:00:00,04:59:59,,04:00:00,00:30:01,
Python动态代码执行调研,02:00:00,02:00:00,,,,,,,02:00:00,,
管理-编写研发部成本核销文档,00:30:00,00:30:00,,,,,,,00:30:00,,